Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
97,CCAFS,GPS III,"1,977 kg",LEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">U.S. Space Force</a>",,,,24 October 2020,15:31:34
98,CCAFS,Crew-1,"15,600 kg",LEO,"<a href=""/wiki/Republic_of_Korea_Army"" title=""Republic of Korea Army"">Republic of Korea Army</a>",,,,5 November 2020,23:24:23
99,KSC,Sentinel-6 Michael Freilich (Jason-CS A),"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,16 November 2020,00:27
100,VAFB,Starlink,"12,530 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,21 November 2020,17:17:08
101,CCAFS,SpaceX CRS-21,"15,600 kg",LEO,"<a class=""mw-redirect"" href=""/wiki/CONAE"" title=""CONAE"">CONAE</a>",,,,25 November 2020,02:13
102,KSC,SXM-7,"15,410 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,6 December 2020,16:17:08
103,CCSFS,NROL-108,"4,311 kg",MEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,13 December 2020,17:30:00
104,KSC,Türksat 5A,"5,000–6,000 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,19 December 2020,14:00:00
105,CCSFS,Starlink,"14,932 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,8 January 2021,02:15
106,KSC,Transporter-1,"~15,440 kg",LEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">USSF</a>",,,,20 January 2021,13:02
1,CCSFS,Starlink,"3,130 kg",SSO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",,,,24 January 2021,15:00
1,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",,,,4 June 2010,18:45
2,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,8 December 2010,15:43
3,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",,,,22 May 2012,07:44
4,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>",,,,8 October 2012,00:35
5,CCAFS,Starlink,"4,311 kg",MEO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>",,,,1 March 2013,15:10
6,VAFB,Starlink,"~12,500 kg",LEO,"<a href=""/wiki/T%C3%BCrksat_(company)"" title=""Türksat (company)"">Türksat</a>",,,,29 September 2013,16:00
7,CCAFS,Crew-2,"1,192 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,3 December 2013,22:41
8,CCAFS,Starlink,"15,600 kg",LEO,,,,,6 January 2014,22:06
9,Cape Canaveral,Starlink,"2,972 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,18 April 2014,19:25
10,Cape Canaveral,Starlink,"7,000 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,14 July 2014,15:15
11,Cape Canaveral,Starlink,C,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,5 August 2014,08:00
12,Cape Canaveral,Starlink,"3,500 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,7 September 2014,05:00
13,Cape Canaveral,SpaceX CRS-22,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,21 September 2014,05:52
14,Cape Canaveral,SXM-8,"~5,000 kg",SSO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,10 January 2015,09:47
15,Cape Canaveral,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,11 February 2015,23:03
16,Cape Canaveral,Dragon,0,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",,,,2 March 2015,03:50
17,Cape Canaveral,Dragon,525 kg,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,14 April 2015,20:10
18,Cape Canaveral,SpaceX CRS-1,"4,700 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,27 April 2015,23:03
19,Cape Canaveral,SpaceX CRS-2,"4,877 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,28 June 2015,14:21
20,Cape Canaveral,CASSIOPE,500 kg,Polar orbit,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,22 December 2015,01:29
21,VAFB,SES-8,"3,170 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",,,,17 January 2016,18:42
22,Cape Canaveral,Thaicom 6,"3,325 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",,,,4 March 2016,23:35
23,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>",,,,8 April 2016,20:43
24,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,,,,,6 May 2016,05:21
25,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,,,,,27 May 2016,21:39
26,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,,,,,15 June 2016,14:29
27,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,,,,,18 July 2016,04:45
28,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,,,,,14 August 2016,05:26
29,VAFB,DSCOVR,570 kg,HEO,,,,,14 January 2017,17:54
30,KSC,ABS-3A,"4,159 kg",GTO,,,,,19 February 2017,14:39
31,KSC,SpaceX CRS-6,"1,898 kg",LEO,,,,,16 March 2017,06:00
32,KSC,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,,,,30 March 2017,22:27
33,KSC,SpaceX CRS-7,"1,952 kg",LEO,,,,,1 May 2017,11:15
34,KSC,Orbcomm-OG2,"2,034 kg",LEO,,,,,15 May 2017,23:21
35,KSC,Jason-3,553 kg,LEO,,,,,3 June 2017,21:07
36,KSC,SES-9,"5,271 kg",GTO,,,,,23 June 2017,19:10
37,VAFB,SpaceX CRS-8,"3,136 kg",LEO,,,,,25 June 2017,20:25
38,KSC,JCSAT-14,"4,696 kg",GTO,,,,,5 July 2017,23:38
39,KSC,Thaicom 8,"3,100 kg",GTO,,,,,14 August 2017,16:31
40,VAFB,ABS-2A,"3,600 kg",GTO,,,,,24 August 2017,18:51
41,KSC,SpaceX CRS-9,"2,257 kg",LEO,,,,,7 September 2017,14:00
42,VAFB,JCSAT-16,"4,600 kg",GTO,,,,,9 October 2017,12:37
43,KSC,Iridium NEXT,"9,600 kg",Polar,,,,,11 October 2017,22:53:00
44,KSC,SpaceX CRS-10,"2,490 kg",LEO,,,,,30 October 2017,19:34
45,Cape Canaveral,EchoStar 23,"5,600 kg",GTO,,,,,15 December 2017,15:36
46,VAFB,SES-10,"5,300 kg",GTO,,,,,23 December 2017,01:27
47,CCAFS,NROL-76,C,LEO,,,,,8 January 2018,01:00
48,CCAFS,Inmarsat-5 F4,"6,070 kg",GTO,,,,,31 January 2018,21:25
49,VAFB,SpaceX CRS-11,"2,708 kg",LEO,,,,,22 February 2018,14:17
50,CCAFS,BulgariaSat-1,"3,669 kg",GTO,,,,,6 March 2018,05:33
51,VAFB,Iridium NEXT,"9,600 kg",LEO,,,,,30 March 2018,14:14
52,CCAFS,Intelsat 35e,"6,761 kg",GTO,,,,,2 April 2018,20:30
53,CCAFS,SpaceX CRS-12,"3,310 kg",LEO,,,,,18 April 2018,22:51
54,KSC,Formosat-5,475 kg,SSO,,,,,11 May 2018,20:14
55,VAFB,Boeing X-37B,"4,990 kg",LEO,,,,,22 May 2018,19:47
56,CCAFS,Iridium NEXT,"9,600 kg",Polar,,,,,4 June 2018,04:45
57,CCAFS,SES-11,"5,200 kg",GTO,,,,,29 June 2018,09:42
58,CCAFS,Koreasat 5A,"3,500 kg",GTO,,,,,22 July 2018,05:50
59,VAFB,SpaceX CRS-13,"2,205 kg",LEO,,,,,25 July 2018,11:39
60,CCAFS,Iridium NEXT,"9,600 kg",Polar,,,,,7 August 2018,05:18
61,CCAFS,Zuma,C,LEO,,,,,10 September 2018,04:45
62,VAFB,GovSat-1,"4,230 kg",GTO,,,,,8 October 2018,02:22
63,KSC,Paz,"2,150 kg",SSO,,,,,15 November 2018,20:46
64,VAFB,Hispasat 30W-6,"6,092 kg",GTO,,,,,3 December 2018,18:34:05
65,CCAFS,Iridium NEXT,"9,600 kg",Polar,,,,,5 December 2018,18:16
66,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,,,,,23 December 2018,13:51
67,VAFB,Transiting Exoplanet Survey Satellite,362 kg,HEO,,,,,11 January 2019,15:31
68,CCAFS,Bangabandhu-1,"3,600 kg",GTO,,,,,22 February 2019,01:45
69,KSC,Iridium NEXT,"6,460 kg",Polar,,,,,2 March 2019,07:49
